"S.
No",District,Assembly constituency,Corporation/Municipality,Ward Number,Male,Female,Other,Total Voters,parliament constituency,5243023,AC Reservation
1569,Nalgonda,Nalgonda,Nalgonda Corp.,43,1265,1353,0,2618,Nalgonda,,
1570,Nalgonda,Nalgonda,Nalgonda Corp.,44,1371,1509,0,2880,Nalgonda,,
1571,Nalgonda,Nalgonda,Nalgonda Corp.,45,1340,1469,0,2809,Nalgonda,,
1572,Nalgonda,Nalgonda,Nalgonda Corp.,46,1337,1424,0,2761,Nalgonda,,
1573,Nalgonda,Nalgonda,Nalgonda Corp.,47,1442,1585,27,3054,Nalgonda,,
1574,Nalgonda,Nalgonda,Nalgonda Corp.,48,1697,1769,0,3466,Nalgonda,,
1575,Nalgonda,Nagarjuna Sagar,Nandhikonda Municipality,1,587,634,1,1222,Nalgonda,,
1576,Nalgonda,Nagarjuna Sagar,Nandhikonda Municipality,2,654,722,0,1376,Nalgonda,,
1577,Nalgonda,Nagarjuna Sagar,Nandhikonda Municipality,3,525,544,0,1069,Nalgonda,,
1578,Nalgonda,Nagarjuna Sagar,Nandhikonda Municipality,4,580,604,0,1184,Nalgonda,,
1579,Nalgonda,Nagarjuna Sagar,Nandhikonda Municipality,5,572,622,0,1194,Nalgonda,,
1580,Nalgonda,Nagarjuna Sagar,Nandhikonda Municipality,6,440,526,0,966,Nalgonda,,
1581,Nalgonda,Nagarjuna Sagar,Nandhikonda Municipality,7,579,576,0,1155,Nalgonda,,
1582,Nalgonda,Nagarjuna Sagar,Nandhikonda Municipality,8,478,542,0,1020,Nalgonda,,
1583,Nalgonda,Nagarjuna Sagar,Nandhikonda Municipality,9,533,617,0,1150,Nalgonda,,
1584,Nalgonda,Nagarjuna Sagar,Nandhikonda Municipality,10,594,636,0,1230,Nalgonda,,
1585,Nalgonda,Nagarjuna Sagar,Nandhikonda Municipality,11,365,454,0,819,Nalgonda,,
1586,Nalgonda,Nagarjuna Sagar,Nandhikonda Municipality,12,534,602,0,1136,Nalgonda,,
1587,Narayanpet,Makthal,Makthal Municipality,1,494,449,0,943,Mahabubnagar,,
1588,Narayanpet,Makthal,Makthal Municipality,2,790,826,0,1616,Mahabubnagar,,
1589,Narayanpet,Makthal,Makthal Municipality,3,616,651,0,1267,Mahabubnagar,,
1590,Narayanpet,Makthal,Makthal Municipality,4,861,880,0,1741,Mahabubnagar,,
1591,Narayanpet,Makthal,Makthal Municipality,5,708,823,0,1531,Mahabubnagar,,
1592,Narayanpet,Makthal,Makthal Municipality,6,728,725,0,1453,Mahabubnagar,,
1593,Narayanpet,Makthal,Makthal Municipality,7,878,851,0,1729,Mahabubnagar,,
1594,Narayanpet,Makthal,Makthal Municipality,8,1035,1023,0,2058,Mahabubnagar,,
1595,Narayanpet,Makthal,Makthal Municipality,9,499,539,0,1038,Mahabubnagar,,
1596,Narayanpet,Makthal,Makthal Municipality,10,687,763,0,1450,Mahabubnagar,,
1597,Narayanpet,Makthal,Makthal Municipality,11,656,640,0,1296,Mahabubnagar,,
1598,Narayanpet,Makthal,Makthal Municipality,12,799,924,0,1723,Mahabubnagar,,
1599,Narayanpet,Makthal,Makthal Municipality,13,467,547,0,1014,Mahabubnagar,,
1600,Narayanpet,Makthal,Makthal Municipality,14,698,747,0,1445,Mahabubnagar,,
1601,Narayanpet,Makthal,Makthal Municipality,15,738,769,0,1507,Mahabubnagar,,
1602,Narayanpet,Makthal,Makthal Municipality,16,753,781,0,1534,Mahabubnagar,,
1603,Narayanpet,Narayanpet,Narayanpet Municipality,1,697,710,0,1407,Mahabubnagar,,
1604,Narayanpet,Narayanpet,Narayanpet Municipality,2,546,581,0,1127,Mahabubnagar,,
1605,Narayanpet,Narayanpet,Narayanpet Municipality,3,799,868,0,1667,Mahabubnagar,,
1606,Narayanpet,Narayanpet,Narayanpet Municipality,4,513,478,0,991,Mahabubnagar,,
1607,Narayanpet,Narayanpet,Narayanpet Municipality,5,867,911,0,1778,Mahabubnagar,,
1608,Narayanpet,Narayanpet,Narayanpet Municipality,6,846,976,0,1822,Mahabubnagar,,
1609,Narayanpet,Narayanpet,Narayanpet Municipality,7,813,820,0,1633,Mahabubnagar,,
1610,Narayanpet,Narayanpet,Narayanpet Municipality,8,1033,1069,0,2102,Mahabubnagar,,
1611,Narayanpet,Narayanpet,Narayanpet Municipality,9,881,929,0,1810,Mahabubnagar,,
1612,Narayanpet,Narayanpet,Narayanpet Municipality,10,611,645,0,1256,Mahabubnagar,,
1613,Narayanpet,Narayanpet,Narayanpet Municipality,11,875,923,0,1798,Mahabubnagar,,
1614,Narayanpet,Narayanpet,Narayanpet Municipality,12,661,717,0,1378,Mahabubnagar,,
1615,Narayanpet,Narayanpet,Narayanpet Municipality,13,741,811,0,1552,Mahabubnagar,,
1616,Narayanpet,Narayanpet,Narayanpet Municipality,14,707,708,0,1415,Mahabubnagar,,
1617,Narayanpet,Narayanpet,Narayanpet Municipality,15,616,693,0,1309,Mahabubnagar,,
1618,Narayanpet,Narayanpet,Narayanpet Municipality,16,552,610,0,1162,Mahabubnagar,,
1619,Narayanpet,Narayanpet,Narayanpet Municipality,17,716,730,0,1446,Mahabubnagar,,
1620,Narayanpet,Narayanpet,Narayanpet Municipality,18,553,642,0,1195,Mahabubnagar,,
1621,Narayanpet,Narayanpet,Narayanpet Municipality,19,665,772,0,1437,Mahabubnagar,,
1622,Narayanpet,Narayanpet,Narayanpet Municipality,20,744,756,0,1500,Mahabubnagar,,
1623,Narayanpet,Narayanpet,Narayanpet Municipality,21,810,851,0,1661,Mahabubnagar,,
1624,Narayanpet,Narayanpet,Narayanpet Municipality,22,701,721,0,1422,Mahabubnagar,,
1625,Narayanpet,Narayanpet,Narayanpet Municipality,23,590,623,0,1213,Mahabubnagar,,
1626,Narayanpet,Narayanpet,Narayanpet Municipality,24,707,672,0,1379,Mahabubnagar,,
1627,Narayanpet,Kodangal,Kosgi Municipality,1,702,688,0,1390,Mahabubnagar,,
1628,Narayanpet,Kodangal,Kosgi Municipality,2,570,569,0,1139,Mahabubnagar,,
1629,Narayanpet,Kodangal,Kosgi Municipality,3,533,523,0,1056,Mahabubnagar,,
1630,Narayanpet,Kodangal,Kosgi Municipality,4,616,595,0,1211,Mahabubnagar,,
1631,Narayanpet,Kodangal,Kosgi Municipality,5,604,665,0,1269,Mahabubnagar,,
1632,Narayanpet,Kodangal,Kosgi Municipality,6,808,787,1,1596,Mahabubnagar,,
1633,Narayanpet,Kodangal,Kosgi Municipality,7,492,540,0,1032,Mahabubnagar,,
1634,Narayanpet,Kodangal,Kosgi Municipality,8,671,628,0,1299,Mahabubnagar,,
1635,Narayanpet,Kodangal,Kosgi Municipality,9,598,582,0,1180,Mahabubnagar,,
1636,Narayanpet,Kodangal,Kosgi Municipality,10,554,661,0,1215,Mahabubnagar,,
1637,Narayanpet,Kodangal,Kosgi Municipality,11,630,620,0,1250,Mahabubnagar,,
1638,Narayanpet,Kodangal,Kosgi Municipality,12,535,533,0,1068,Mahabubnagar,,
1639,Narayanpet,Kodangal,Kosgi Municipality,13,639,647,0,1286,Mahabubnagar,,
1640,Narayanpet,Kodangal,Kosgi Municipality,14,710,734,0,1444,Mahabubnagar,,
1641,Narayanpet,Kodangal,Kosgi Municipality,15,581,619,0,1200,Mahabubnagar,,
1642,Narayanpet,Kodangal,Kosgi Municipality,16,785,828,0,1613,Mahabubnagar,,
1643,Narayanpet,Kodangal,Maddur Municipality,1,349,318,0,667,Mahabubnagar,,
1644,Narayanpet,Kodangal,Maddur Municipality,2,446,456,0,902,Mahabubnagar,,
1645,Narayanpet,Kodangal,Maddur Municipality,3,525,558,0,1083,Mahabubnagar,,
1646,Narayanpet,Kodangal,Maddur Municipality,4,443,469,0,912,Mahabubnagar,,
1647,Narayanpet,Kodangal,Maddur Municipality,5,349,355,0,704,Mahabubnagar,,
1648,Narayanpet,Kodangal,Maddur Municipality,6,399,404,0,803,Mahabubnagar,,
1649,Narayanpet,Kodangal,Maddur Municipality,7,350,360,0,710,Mahabubnagar,,
1650,Narayanpet,Kodangal,Maddur Municipality,8,354,367,0,721,Mahabubnagar,,
1651,Narayanpet,Kodangal,Maddur Municipality,9,302,366,0,668,Mahabubnagar,,
1652,Narayanpet,Kodangal,Maddur Municipality,10,360,386,0,746,Mahabubnagar,,
1653,Narayanpet,Kodangal,Maddur Municipality,11,370,392,0,762,Mahabubnagar,,
1654,Narayanpet,Kodangal,Maddur Municipality,12,618,639,0,1257,Mahabubnagar,,
1655,Narayanpet,Kodangal,Maddur Municipality,13,337,377,0,714,Mahabubnagar,,
1656,Narayanpet,Kodangal,Maddur Municipality,14,333,382,0,715,Mahabubnagar,,
1657,Narayanpet,Kodangal,Maddur Municipality,15,304,340,0,644,Mahabubnagar,,
1658,Narayanpet,Kodangal,Maddur Municipality,16,332,361,0,693,Mahabubnagar,,
1659,Nirmal,Mudhole,Bhainsa Municipality,1,1316,1320,0,2636,Adilabad,,
1660,Nirmal,Mudhole,Bhainsa Municipality,2,735,797,0,1532,Adilabad,,
1661,Nirmal,Mudhole,Bhainsa Municipality,3,1141,1196,3,2340,Adilabad,,
1662,Nirmal,Mudhole,Bhainsa Municipality,4,1116,1144,1,2261,Adilabad,,
1663,Nirmal,Mudhole,Bhainsa Municipality,5,915,967,0,1882,Adilabad,,
1664,Nirmal,Mudhole,Bhainsa Municipality,6,1380,1474,0,2854,Adilabad,,
1665,Nirmal,Mudhole,Bhainsa Municipality,7,515,525,0,1040,Adilabad,,
1666,Nirmal,Mudhole,Bhainsa Municipality,8,790,793,0,1583,Adilabad,,
1667,Nirmal,Mudhole,Bhainsa Municipality,9,1001,1011,0,2012,Adilabad,,
1668,Nirmal,Mudhole,Bhainsa Municipality,10,1161,1171,1,2333,Adilabad,,
1669,Nirmal,Mudhole,Bhainsa Municipality,11,716,696,0,1412,Adilabad,,
1670,Nirmal,Mudhole,Bhainsa Municipality,12,879,853,1,1733,Adilabad,,
1671,Nirmal,Mudhole,Bhainsa Municipality,13,912,924,0,1836,Adilabad,,
1672,Nirmal,Mudhole,Bhainsa Municipality,14,773,820,0,1593,Adilabad,,
1673,Nirmal,Mudhole,Bhainsa Municipality,15,1248,1203,1,2452,Adilabad,,
1674,Nirmal,Mudhole,Bhainsa Municipality,16,867,893,0,1760,Adilabad,,
1675,Nirmal,Mudhole,Bhainsa Municipality,17,809,801,0,1610,Adilabad,,
1676,Nirmal,Mudhole,Bhainsa Municipality,18,1123,1107,0,2230,Adilabad,,
1677,Nirmal,Mudhole,Bhainsa Municipality,19,1439,1391,1,2831,Adilabad,,
1678,Nirmal,Mudhole,Bhainsa Municipality,20,761,713,0,1474,Adilabad,,
1679,Nirmal,Mudhole,Bhainsa Municipality,21,1031,963,0,1994,Adilabad,,
1680,Nirmal,Mudhole,Bhainsa Municipality,22,1126,1141,0,2267,Adilabad,,
1681,Nirmal,Mudhole,Bhainsa Municipality,23,924,970,0,1894,Adilabad,,
1682,Nirmal,Mudhole,Bhainsa Municipality,24,871,837,1,1709,Adilabad,,
1683,Nirmal,Mudhole,Bhainsa Municipality,25,939,942,0,1881,Adilabad,,
1684,Nirmal,Mudhole,Bhainsa Municipality,26,998,971,0,1969,Adilabad,,
1685,Nirmal,Khanapur,Khanapur Municipality,1,542,682,0,1224,Adilabad,,ST)
1686,Nirmal,Khanapur,Khanapur Municipality,2,754,760,0,1514,Adilabad,,ST)
1687,Nirmal,Khanapur,Khanapur Municipality,3,757,804,0,1561,Adilabad,,ST)
1688,Nirmal,Khanapur,Khanapur Municipality,4,616,659,0,1275,Adilabad,,ST)
1689,Nirmal,Khanapur,Khanapur Municipality,5,700,762,0,1462,Adilabad,,ST)
1690,Nirmal,Khanapur,Khanapur Municipality,6,642,704,0,1346,Adilabad,,ST)
1691,Nirmal,Khanapur,Khanapur Municipality,7,685,708,0,1393,Adilabad,,ST)
1692,Nirmal,Khanapur,Khanapur Municipality,8,829,915,0,1744,Adilabad,,ST)
1693,Nirmal,Khanapur,Khanapur Municipality,9,795,805,0,1600,Adilabad,,ST)
1694,Nirmal,Khanapur,Khanapur Municipality,10,719,748,0,1467,Adilabad,,ST)
1695,Nirmal,Khanapur,Khanapur Municipality,11,742,811,0,1553,Adilabad,,ST)
1696,Nirmal,Khanapur,Khanapur Municipality,12,743,811,0,1554,Adilabad,,ST)
1697,Nirmal,Nirmal,Nirmal Municipality,1,1042,1134,0,2176,Adilabad,,
1698,Nirmal,Nirmal,Nirmal Municipality,2,923,1096,0,2019,Adilabad,,
1699,Nirmal,Nirmal,Nirmal Municipality,3,1133,1305,0,2438,Adilabad,,
1700,Nirmal,Nirmal,Nirmal Municipality,4,944,1044,0,1988,Adilabad,,
1701,Nirmal,Nirmal,Nirmal Municipality,5,889,955,0,1844,Adilabad,,
1702,Nirmal,Nirmal,Nirmal Municipality,6,902,973,0,1875,Adilabad,,
1703,Nirmal,Nirmal,Nirmal Municipality,7,1206,1279,0,2485,Adilabad,,
1704,Nirmal,Nirmal,Nirmal Municipality,8,1324,1488,0,2812,Adilabad,,
1705,Nirmal,Nirmal,Nirmal Municipality,9,1210,1314,0,2524,Adilabad,,
1706,Nirmal,Nirmal,Nirmal Municipality,10,1295,1386,0,2681,Adilabad,,
1707,Nirmal,Nirmal,Nirmal Municipality,11,1133,1242,0,2375,Adilabad,,
1708,Nirmal,Nirmal,Nirmal Municipality,12,1088,1223,0,2311,Adilabad,,
1709,Nirmal,Nirmal,Nirmal Municipality,13,884,944,0,1828,Adilabad,,
1710,Nirmal,Nirmal,Nirmal Municipality,14,1654,1735,0,3389,Adilabad,,
1711,Nirmal,Nirmal,Nirmal Municipality,15,1862,1985,0,3847,Adilabad,,
1712,Nirmal,Nirmal,Nirmal Municipality,16,1611,1789,0,3400,Adilabad,,
1713,Nirmal,Nirmal,Nirmal Municipality,17,1147,1205,0,2352,Adilabad,,
1714,Nirmal,Nirmal,Nirmal Municipality,18,1098,1187,0,2285,Adilabad,,
1715,Nirmal,Nirmal,Nirmal Municipality,19,966,1140,1,2107,Adilabad,,
1716,Nirmal,Nirmal,Nirmal Municipality,20,1200,1249,0,2449,Adilabad,,
1717,Nirmal,Nirmal,Nirmal Municipality,21,1352,1394,0,2746,Adilabad,,
1718,Nirmal,Nirmal,Nirmal Municipality,22,1248,1363,16,2627,Adilabad,,
1719,Nirmal,Nirmal,Nirmal Municipality,23,1044,1126,0,2170,Adilabad,,
1720,Nirmal,Nirmal,Nirmal Municipality,24,1041,1042,0,2083,Adilabad,,
1721,Nirmal,Nirmal,Nirmal Municipality,25,942,1014,0,1956,Adilabad,,
1722,Nirmal,Nirmal,Nirmal Municipality,26,1024,1021,1,2046,Adilabad,,
1723,Nirmal,Nirmal,Nirmal Municipality,27,1050,1046,0,2096,Adilabad,,
1724,Nirmal,Nirmal,Nirmal Municipality,28,902,1009,0,1911,Adilabad,,
1725,Nirmal,Nirmal,Nirmal Municipality,29,1216,1421,0,2637,Adilabad,,
1726,Nirmal,Nirmal,Nirmal Municipality,30,998,1171,0,2169,Adilabad,,
1727,Nirmal,Nirmal,Nirmal Municipality,31,1092,1230,0,2322,Adilabad,,
1728,Nirmal,Nirmal,Nirmal Municipality,32,1242,1227,0,2469,Adilabad,,
1729,Nirmal,Nirmal,Nirmal Municipality,33,891,931,0,1822,Adilabad,,
1730,Nirmal,Nirmal,Nirmal Municipality,34,1393,1300,0,2693,Adilabad,,
1731,Nirmal,Nirmal,Nirmal Municipality,35,1254,1304,0,2558,Adilabad,,
1732,Nirmal,Nirmal,Nirmal Municipality,36,1050,1095,0,2145,Adilabad,,
1733,Nirmal,Nirmal,Nirmal Municipality,37,1007,1066,0,2073,Adilabad,,
1734,Nirmal,Nirmal,Nirmal Municipality,38,1009,1120,0,2129,Adilabad,,
1735,Nirmal,Nirmal,Nirmal Municipality,39,990,1034,0,2024,Adilabad,,
1736,Nirmal,Nirmal,Nirmal Municipality,40,1209,1266,0,2475,Adilabad,,
1737,Nirmal,Nirmal,Nirmal Municipality,41,1010,1052,0,2062,Adilabad,,
1738,Nirmal,Nirmal,Nirmal Municipality,42,887,919,0,1806,Adilabad,,
1739,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,1,2943,3337,1,6281,Nizamabad,,
1740,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,2,2770,3177,0,5947,Nizamabad,,
1741,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,3,2687,2919,0,5606,Nizamabad,,
1742,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,4,2767,2929,0,5696,Nizamabad,,
1743,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,5,3091,3295,1,6387,Nizamabad,,
1744,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,6,3496,3616,0,7112,Nizamabad,,
1745,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,7,2896,3034,0,5930,Nizamabad,,
1746,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,8,2398,2533,2,4933,Nizamabad,,
1747,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,9,2753,3176,0,5929,Nizamabad,,
1748,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,10,2158,2505,2,4665,Nizamabad,,
1749,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,11,3593,4138,22,7753,Nizamabad,,
1750,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,12,2993,3368,0,6361,Nizamabad,,
1751,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,13,3015,3419,0,6434,Nizamabad,,
1752,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,14,3668,3736,0,7404,Nizamabad,,
1753,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,15,2998,3297,0,6295,Nizamabad,,
1754,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,16,2731,3010,1,5742,Nizamabad,,
1755,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,17,2666,2958,1,5625,Nizamabad,,
1756,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,18,2584,2849,0,5433,Nizamabad,,
1757,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,19,3611,4097,0,7708,Nizamabad,,
1758,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,20,2474,2706,0,5180,Nizamabad,,
1759,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,21,2390,2574,0,4964,Nizamabad,,
1760,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,22,2790,3028,1,5819,Nizamabad,,
1761,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,23,2446,2686,0,5132,Nizamabad,,
1762,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,24,2661,2772,0,5433,Nizamabad,,
1763,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,25,2283,2640,0,4923,Nizamabad,,
1764,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,26,2465,2820,0,5285,Nizamabad,,
1765,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,27,2736,2969,1,5706,Nizamabad,,
1766,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,28,3096,3481,1,6578,Nizamabad,,
1767,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,29,3375,3526,0,6901,Nizamabad,,
1768,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,30,3507,3562,0,7069,Nizamabad,,
1769,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,31,2838,3020,0,5858,Nizamabad,,
1770,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,32,3381,3530,0,6911,Nizamabad,,
1771,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,33,2663,2847,1,5511,Nizamabad,,
1772,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,34,2848,2799,0,5647,Nizamabad,,
1773,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,35,2583,2751,0,5334,Nizamabad,,
1774,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,36,2473,2738,1,5212,Nizamabad,,
1775,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,37,2654,3088,0,5742,Nizamabad,,
1776,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,38,2534,2749,2,5285,Nizamabad,,
1777,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,39,2962,3303,0,6265,Nizamabad,,
1778,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,40,2770,3118,0,5888,Nizamabad,,
1779,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,41,2184,2519,5,4708,Nizamabad,,
1780,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,42,3117,3193,0,6310,Nizamabad,,
1781,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,43,2922,3254,1,6177,Nizamabad,,
1782,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,44,1772,1930,0,3702,Nizamabad,,
1783,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,45,2290,2360,0,4650,Nizamabad,,
1784,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,46,2814,3029,0,5843,Nizamabad,,
1785,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,47,2635,2796,0,5431,Nizamabad,,
1786,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,48,2637,2934,0,5571,Nizamabad,,
1787,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,49,3143,3167,0,6310,Nizamabad,,
1788,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,50,2497,2735,0,5232,Nizamabad,,
1789,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,51,3190,3251,0,6441,Nizamabad,,
1790,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,52,2531,2688,0,5219,Nizamabad,,
1791,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,53,2503,2599,0,5102,Nizamabad,,
1792,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,54,3116,3351,0,6467,Nizamabad,,
1793,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,55,3228,3281,0,6509,Nizamabad,,
1794,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,56,2605,2694,1,5300,Nizamabad,,
1795,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,57,2437,2570,0,5007,Nizamabad,,
1796,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,58,2833,2685,0,5518,Nizamabad,,
1797,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,59,2828,2873,0,5701,Nizamabad,,
1798,Nizamabad,Nizamabad (Urban),Nizamabad Corp.,60,2432,2537,0,4969,Nizamabad,,
1799,Nizamabad,Armoor,Armoor Municipality,1,963,1086,0,2049,Nizamabad,,
1800,Nizamabad,Armoor,Armoor Municipality,2,891,970,1,1862,Nizamabad,,
1801,Nizamabad,Armoor,Armoor Municipality,3,926,1018,0,1944,Nizamabad,,
1802,Nizamabad,Armoor,Armoor Municipality,4,918,1062,0,1980,Nizamabad,,
1803,Nizamabad,Armoor,Armoor Municipality,5,824,894,0,1718,Nizamabad,,
1804,Nizamabad,Armoor,Armoor Municipality,6,906,986,0,1892,Nizamabad,,
1805,Nizamabad,Armoor,Armoor Municipality,7,1027,1026,1,2054,Nizamabad,,
1806,Nizamabad,Armoor,Armoor Municipality,8,929,942,0,1871,Nizamabad,,
1807,Nizamabad,Armoor,Armoor Municipality,9,739,883,0,1622,Nizamabad,,
1808,Nizamabad,Armoor,Armoor Municipality,10,840,986,0,1826,Nizamabad,,
1809,Nizamabad,Armoor,Armoor Municipality,11,823,919,0,1742,Nizamabad,,
1810,Nizamabad,Armoor,Armoor Municipality,12,743,907,0,1650,Nizamabad,,
1811,Nizamabad,Armoor,Armoor Municipality,13,857,954,0,1811,Nizamabad,,
1812,Nizamabad,Armoor,Armoor Municipality,14,1025,1080,0,2105,Nizamabad,,
1813,Nizamabad,Armoor,Armoor Municipality,15,755,836,0,1591,Nizamabad,,
1814,Nizamabad,Armoor,Armoor Municipality,16,785,796,0,1581,Nizamabad,,
1815,Nizamabad,Armoor,Armoor Municipality,17,926,989,0,1915,Nizamabad,,
1816,Nizamabad,Armoor,Armoor Municipality,18,869,949,0,1818,Nizamabad,,
1817,Nizamabad,Armoor,Armoor Municipality,19,753,732,0,1485,Nizamabad,,
1818,Nizamabad,Armoor,Armoor Municipality,20,1095,996,0,2091,Nizamabad,,
1819,Nizamabad,Armoor,Armoor Municipality,21,664,784,0,1448,Nizamabad,,
1820,Nizamabad,Armoor,Armoor Municipality,22,929,954,0,1883,Nizamabad,,
1821,Nizamabad,Armoor,Armoor Municipality,23,974,948,0,1922,Nizamabad,,
1822,Nizamabad,Armoor,Armoor Municipality,24,1031,1130,0,2161,Nizamabad,,
1823,Nizamabad,Armoor,Armoor Municipality,25,910,907,0,1817,Nizamabad,,
1824,Nizamabad,Armoor,Armoor Municipality,26,804,873,0,1677,Nizamabad,,
1825,Nizamabad,Armoor,Armoor Municipality,27,795,865,0,1660,Nizamabad,,
1826,Nizamabad,Armoor,Armoor Municipality,28,892,942,0,1834,Nizamabad,,
1827,Nizamabad,Armoor,Armoor Municipality,29,813,862,0,1675,Nizamabad,,
1828,Nizamabad,Armoor,Armoor Municipality,30,697,867,0,1564,Nizamabad,,
1829,Nizamabad,Armoor,Armoor Municipality,31,720,834,0,1554,Nizamabad,,
1830,Nizamabad,Armoor,Armoor Municipality,32,742,887,0,1629,Nizamabad,,
1831,Nizamabad,Armoor,Armoor Municipality,33,759,852,0,1611,Nizamabad,,
1832,Nizamabad,Armoor,Armoor Municipality,34,746,843,0,1589,Nizamabad,,
1833,Nizamabad,Armoor,Armoor Municipality,35,814,885,0,1699,Nizamabad,,
1834,Nizamabad,Armoor,Armoor Municipality,36,764,878,0,1642,Nizamabad,,
1835,Nizamabad,Balkonda,Bheemgal Municipality,1,745,809,0,1554,Nizamabad,,
1836,Nizamabad,Balkonda,Bheemgal Municipality,2,676,725,0,1401,Nizamabad,,
1837,Nizamabad,Balkonda,Bheemgal Municipality,3,506,596,0,1102,Nizamabad,,
1838,Nizamabad,Balkonda,Bheemgal Municipality,4,519,619,0,1138,Nizamabad,,
1839,Nizamabad,Balkonda,Bheemgal Municipality,5,537,622,0,1159,Nizamabad,,
1840,Nizamabad,Balkonda,Bheemgal Municipality,6,462,584,0,1046,Nizamabad,,
1841,Nizamabad,Balkonda,Bheemgal Municipality,7,555,579,0,1134,Nizamabad,,
1842,Nizamabad,Balkonda,Bheemgal Municipality,8,523,589,0,1112,Nizamabad,,
1843,Nizamabad,Balkonda,Bheemgal Municipality,9,539,553,0,1092,Nizamabad,,
1844,Nizamabad,Balkonda,Bheemgal Municipality,10,435,536,0,971,Nizamabad,,
1845,Nizamabad,Balkonda,Bheemgal Municipality,11,626,676,0,1302,Nizamabad,,
1846,Nizamabad,Balkonda,Bheemgal Municipality,12,493,541,0,1034,Nizamabad,,
1847,Nizamabad,Bodhan,Bodhan Municipality,1,922,995,0,1917,Nizamabad,,
1848,Nizamabad,Bodhan,Bodhan Municipality,2,897,917,0,1814,Nizamabad,,
1849,Nizamabad,Bodhan,Bodhan Municipality,3,835,943,0,1778,Nizamabad,,
1850,Nizamabad,Bodhan,Bodhan Municipality,4,920,1033,1,1954,Nizamabad,,
1851,Nizamabad,Bodhan,Bodhan Municipality,5,1025,1009,0,2034,Nizamabad,,
1852,Nizamabad,Bodhan,Bodhan Municipality,6,1089,1089,0,2178,Nizamabad,,
1853,Nizamabad,Bodhan,Bodhan Municipality,7,1079,1034,0,2113,Nizamabad,,
1854,Nizamabad,Bodhan,Bodhan Municipality,8,961,1043,0,2004,Nizamabad,,
1855,Nizamabad,Bodhan,Bodhan Municipality,9,942,974,0,1916,Nizamabad,,
1856,Nizamabad,Bodhan,Bodhan Municipality,10,848,1007,0,1855,Nizamabad,,
