S.No.,District,Assembly constituency,Mandal,Gram Panchayat,No of Wards,Male,Female,Others,Total Voters,AC No.,GP reserved for
732,Bhadradri,Kothagudem,Sujathanagar,Old Anjanapuram,8,429,456,0,885,117,ST (W)
733,Bhadradri,Kothagudem,Sujathanagar,Raghavapuram,8,490,498,1,989,117,ST (W)
734,Bhadradri,Kothagudem,Sujathanagar,Sarvaram,12,1297,1286,0,2583,117,ST (W)
735,Bhadradri,Kothagudem,Sujathanagar,Seetampeta,8,323,322,0,645,117,ST (M/W)
736,Bhadradri,Kothagudem,Sujathanagar,Seetampeta Banjara,10,776,812,0,1588,117,ST (M/W)
737,Bhadradri,Kothagudem,Sujathanagar,Singabhupalem,10,737,770,0,1507,117,ST (M/W)
738,Bhadradri,Pinapaka,Allapalli,Adaviramaram,4,45,40,0,85,110,ST (W)
739,Bhadradri,Pinapaka,Allapalli,Allapalli,10,990,1011,0,2001,110,ST (W)
740,Bhadradri,Pinapaka,Allapalli,Ananthogu,8,313,359,0,672,110,ST (M/W)
741,Bhadradri,Pinapaka,Allapalli,Bodaikunta,6,170,170,0,340,110,ST (W)
742,Bhadradri,Pinapaka,Allapalli,Dongathogu,4,48,40,0,88,110,ST (M/W)
743,Bhadradri,Pinapaka,Allapalli,Markodu,10,952,927,0,1879,110,ST (W)
744,Bhadradri,Pinapaka,Allapalli,Nadimigudem,8,466,431,0,897,110,ST (W)
745,Bhadradri,Pinapaka,Allapalli,Pathuru,8,217,225,0,442,110,ST (M/W)
746,Bhadradri,Pinapaka,Allapalli,Peddavnekatapuram,8,228,240,0,468,110,ST (W)
747,Bhadradri,Pinapaka,Allapalli,Raghavapuram,8,479,492,0,971,110,ST (M/W)
748,Bhadradri,Pinapaka,Allapalli,Ramanujagudem,8,405,423,0,828,110,ST (M/W)
749,Bhadradri,Pinapaka,Allapalli,Rayapadu,8,328,315,0,643,110,ST (M/W)
750,Bhadradri,Pinapaka,Aswapuram,Amerdha,8,524,579,0,1103,110,ST (M/W)
751,Bhadradri,Pinapaka,Aswapuram,Ammagaripalli,8,502,555,0,1057,110,ST (W)
752,Bhadradri,Pinapaka,Aswapuram,Anandapuram,8,401,451,0,852,110,ST (M/W)
753,Bhadradri,Pinapaka,Aswapuram,Aswapuram,16,3939,4046,0,7985,110,ST (M/W)
754,Bhadradri,Pinapaka,Aswapuram,Battilagumpu,8,357,384,0,741,110,ST (W)
755,Bhadradri,Pinapaka,Aswapuram,Chinthryala Colony,8,440,503,0,943,110,ST (W)
756,Bhadradri,Pinapaka,Aswapuram,Chintriyala,8,285,324,0,609,110,ST (W)
757,Bhadradri,Pinapaka,Aswapuram,Gollagudem,10,818,893,0,1711,110,ST (M/W)
758,Bhadradri,Pinapaka,Aswapuram,Gondigudem,10,491,550,0,1041,110,ST (M/W)
759,Bhadradri,Pinapaka,Aswapuram,Gondigudem Kothuru,8,246,253,0,499,110,ST (W)
760,Bhadradri,Pinapaka,Aswapuram,Jaggaram,10,898,977,0,1875,110,ST (W)
761,Bhadradri,Pinapaka,Aswapuram,Kalayanapuram,8,583,615,0,1198,110,ST (M/W)
762,Bhadradri,Pinapaka,Aswapuram,Mallelamadugu,12,1229,1374,0,2603,110,SC (M/W)
763,Bhadradri,Pinapaka,Aswapuram,Manubothulapadu,4,223,205,0,428,110,ST (M/W)
764,Bhadradri,Pinapaka,Aswapuram,Mittagudem,10,622,700,0,1322,110,ST (W)
765,Bhadradri,Pinapaka,Aswapuram,Mondikunta,10,974,1060,0,2034,110,UR (W)
766,Bhadradri,Pinapaka,Aswapuram,Nellipaka,8,407,405,0,812,110,UR (M/W)
767,Bhadradri,Pinapaka,Aswapuram,Ramachandrapuram,10,667,712,0,1379,110,UR (M/W)
768,Bhadradri,Pinapaka,Aswapuram,Sandralabodu,8,223,264,0,487,110,ST (W)
769,Bhadradri,Pinapaka,Aswapuram,Seetharampuram,8,441,468,0,909,110,ST (M/W)
770,Bhadradri,Pinapaka,Aswapuram,Thummalacheruvu,10,752,885,0,1637,110,ST (M/W)
771,Bhadradri,Pinapaka,Aswapuram,Thurramvarigudem,8,374,371,0,745,110,ST (M/W)
772,Bhadradri,Pinapaka,Aswapuram,Venkatapuram,8,487,519,0,1006,110,ST (W)
773,Bhadradri,Pinapaka,Aswapuram,Yelakalagudem,8,186,185,0,371,110,ST (W)
774,Bhadradri,Pinapaka,Burgampahad,Anjanapuram,10,903,941,0,1844,110,ST (M/W)
775,Bhadradri,Pinapaka,Burgampahad,Burgampahad,14,2626,2893,0,5519,110,SC (M/W)
776,Bhadradri,Pinapaka,Burgampahad,Iravendi,10,744,774,0,1518,110,ST (M/W)
777,Bhadradri,Pinapaka,Burgampahad,Koyagudem,8,481,494,0,975,110,ST (M/W)
778,Bhadradri,Pinapaka,Burgampahad,Krishnasagar,10,653,632,0,1285,110,ST (W)
779,Bhadradri,Pinapaka,Burgampahad,Lakshmipuram,10,1004,1065,0,2069,110,UR (M/W)
780,Bhadradri,Pinapaka,Burgampahad,Morampalli Banjar,12,1720,1739,0,3459,110,ST (M/W)
781,Bhadradri,Pinapaka,Burgampahad,Mothepattinagar,8,499,528,0,1027,110,ST (M/W)
782,Bhadradri,Pinapaka,Burgampahad,Musalamadugu,8,666,681,2,1349,110,ST (M/W)
783,Bhadradri,Pinapaka,Burgampahad,Nagineniprolu,14,2242,2373,0,4615,110,ST (W)
784,Bhadradri,Pinapaka,Burgampahad,Nakiripeta,8,399,443,0,842,110,ST (W)
785,Bhadradri,Pinapaka,Burgampahad,Pinapaka Patti Nagar,10,777,758,0,1535,110,ST (M/W)
786,Bhadradri,Pinapaka,Burgampahad,Sarapaka,18,9355,9579,0,18934,110,ST (M/W)
787,Bhadradri,Pinapaka,Burgampahad,Sompalli,8,462,464,0,926,110,ST (W)
788,Bhadradri,Pinapaka,Burgampahad,Tekulacheruvu,8,533,526,0,1059,110,UR (W)
789,Bhadradri,Pinapaka,Burgampahad,Thallagommuru,8,440,450,0,890,110,ST (W)
790,Bhadradri,Pinapaka,Burgampahad,Uppusaka,10,815,871,0,1686,110,ST (W)
791,Bhadradri,Pinapaka,Burgampahad,Vepalagadda,8,357,462,0,819,110,ST (W)
792,Bhadradri,Pinapaka,Gundala,Damarathogu,8,272,269,0,541,110,ST (M/W)
793,Bhadradri,Pinapaka,Gundala,Gundala,12,1474,1491,0,2965,110,ST (M/W)
794,Bhadradri,Pinapaka,Gundala,Kachinapalli,8,644,636,0,1280,110,ST (M/W)
795,Bhadradri,Pinapaka,Gundala,Lingagudem,8,402,419,0,821,110,ST (M/W)
796,Bhadradri,Pinapaka,Gundala,Mamakannu,8,343,354,0,697,110,ST (W)
797,Bhadradri,Pinapaka,Gundala,Muthapuram,10,787,801,0,1588,110,ST (W)
798,Bhadradri,Pinapaka,Gundala,Padugonigudem,8,471,492,0,963,110,ST (M/W)
799,Bhadradri,Pinapaka,Gundala,Rollagadda,8,513,516,0,1029,110,ST (W)
800,Bhadradri,Pinapaka,Gundala,Sayanapalli,10,783,788,0,1571,110,ST (W)
801,Bhadradri,Pinapaka,Gundala,Settipalli,8,449,461,0,910,110,ST (M/W)
802,Bhadradri,Pinapaka,Gundala,Shambunigudem,8,491,474,0,965,110,ST (W)
803,Bhadradri,Pinapaka,Karakagudem,Anantharam,8,558,542,0,1100,110,ST (W)
804,Bhadradri,Pinapaka,Karakagudem,Bhattupalli,8,523,583,0,1106,110,ST (W)
805,Bhadradri,Pinapaka,Karakagudem,Chirramalla,8,430,435,0,865,110,ST (W)
806,Bhadradri,Pinapaka,Karakagudem,Choppala,8,432,441,0,873,110,ST (M/W)
807,Bhadradri,Pinapaka,Karakagudem,Kannaigudem,8,295,294,0,589,110,ST (M/W)
808,Bhadradri,Pinapaka,Karakagudem,Karakagudem,10,859,818,0,1677,110,ST (W)
809,Bhadradri,Pinapaka,Karakagudem,Kothagudem,8,354,363,0,717,110,ST (M/W)
810,Bhadradri,Pinapaka,Karakagudem,Padmapuram,8,433,413,0,846,110,ST (M/W)
811,Bhadradri,Pinapaka,Karakagudem,Raghunadhapalem,8,358,358,0,716,110,ST (W)
812,Bhadradri,Pinapaka,Karakagudem,Regalla,8,452,409,0,861,110,ST (W)
813,Bhadradri,Pinapaka,Karakagudem,Samath Battupalli,8,474,504,0,978,110,ST (M/W)
814,Bhadradri,Pinapaka,Karakagudem,Samath Mothe,8,212,242,0,454,110,ST (W)
815,Bhadradri,Pinapaka,Karakagudem,Thatigudem,8,288,316,0,604,110,ST (W)
816,Bhadradri,Pinapaka,Karakagudem,Thummalagudem,8,249,267,0,516,110,ST (M/W)
817,Bhadradri,Pinapaka,Karakagudem,Vattamvarigumpu,8,232,236,0,468,110,ST (M/W)
818,Bhadradri,Pinapaka,Karakagudem,Venkatapuram,8,244,255,0,499,110,ST (W)
819,Bhadradri,Pinapaka,Manuguru,Bugga (Hill Area),6,148,163,0,311,110,ST (W)
820,Bhadradri,Pinapaka,Manuguru,Dammakkapeta,8,582,584,0,1166,110,ST (W)
821,Bhadradri,Pinapaka,Manuguru,Gattu Mallaram,8,452,519,0,971,110,ST (W)
822,Bhadradri,Pinapaka,Manuguru,Ippala Singaram,10,709,801,0,1510,110,ST (M/W)
823,Bhadradri,Pinapaka,Manuguru,Kattu Mallaram,8,182,203,0,385,110,ST (M/W)
824,Bhadradri,Pinapaka,Manuguru,Kunavaram,16,5009,4811,0,9820,110,ST (W)
825,Bhadradri,Pinapaka,Manuguru,Lanka Mallaram,6,206,273,0,479,110,ST (M/W)
826,Bhadradri,Pinapaka,Manuguru,Muthyalama Nagar,8,844,898,0,1742,110,ST (M/W)
827,Bhadradri,Pinapaka,Manuguru,Pagideru,10,1161,1218,0,2379,110,ST (M/W)
828,Bhadradri,Pinapaka,Manuguru,Ramanujavaram,12,1437,1548,0,2985,110,ST (W)
829,Bhadradri,Pinapaka,Manuguru,Sambaigudem,8,580,649,0,1229,110,ST (W)
830,Bhadradri,Pinapaka,Manuguru,Samithisingaram,16,5534,5715,0,11249,110,ST (M/W)
831,Bhadradri,Pinapaka,Manuguru,Thirlapuram,8,581,642,0,1223,110,ST (M/W)
832,Bhadradri,Pinapaka,Manuguru,Thoggudem,8,499,532,0,1031,110,ST (M/W)
833,Bhadradri,Pinapaka,Pinapaka,Amararam,8,516,547,0,1063,110,ST (W)
834,Bhadradri,Pinapaka,Pinapaka,Bhupalapatnam,10,252,289,0,541,110,ST (W)
835,Bhadradri,Pinapaka,Pinapaka,Botigudem,8,417,445,1,863,110,ST (W)
836,Bhadradri,Pinapaka,Pinapaka,Chegarsala,8,312,317,0,629,110,ST (W)
837,Bhadradri,Pinapaka,Pinapaka,Dugineypalli,10,754,812,0,1566,110,ST (M/W)
838,Bhadradri,Pinapaka,Pinapaka,E.Bayyaram,12,2198,2307,0,4505,110,ST (M/W)
839,Bhadradri,Pinapaka,Pinapaka,Elchireddipalli,10,703,760,0,1463,110,ST (W)
840,Bhadradri,Pinapaka,Pinapaka,Gaddampalli,8,259,308,0,567,110,ST (W)
841,Bhadradri,Pinapaka,Pinapaka,Jaggaram,8,417,389,0,806,110,ST (M/W)
842,Bhadradri,Pinapaka,Pinapaka,Janampeta,12,1614,1754,0,3368,110,ST (W)
843,Bhadradri,Pinapaka,Pinapaka,Kistapuram,6,192,196,0,388,110,ST (M/W)
844,Bhadradri,Pinapaka,Pinapaka,Mallaram,8,494,519,0,1013,110,ST (M/W)
845,Bhadradri,Pinapaka,Pinapaka,Pandurangapuram,8,330,334,0,664,110,ST (W)
846,Bhadradri,Pinapaka,Pinapaka,Pathareddipalem,8,508,517,0,1025,110,ST (W)
847,Bhadradri,Pinapaka,Pinapaka,Pinapaka,8,407,446,0,853,110,ST (W)
848,Bhadradri,Pinapaka,Pinapaka,Potlapalli,10,522,564,0,1086,110,ST (M/W)
849,Bhadradri,Pinapaka,Pinapaka,Seethampeta,8,646,708,0,1354,110,ST (W)
850,Bhadradri,Pinapaka,Pinapaka,Seetharampuram,8,218,243,0,461,110,ST (W)
851,Bhadradri,Pinapaka,Pinapaka,Singireddypalli,10,604,676,0,1280,110,ST (M/W)
852,Bhadradri,Pinapaka,Pinapaka,Thoggudem,10,783,852,0,1635,110,ST (M/W)
853,Bhadradri,Pinapaka,Pinapaka,Thondapuri Kothagudem,8,341,344,0,685,110,ST (M/W)
854,Bhadradri,Pinapaka,Pinapaka,Uppaka,8,437,476,0,913,110,ST (M/W)
855,Bhadradri,Pinapaka,Pinapaka,Venkatraopeta,8,303,319,0,622,110,ST (M/W)
856,Bhadradri,Wyra,Julurupadu,Anantharam,8,269,299,0,568,115,ST (M/W)
857,Bhadradri,Wyra,Julurupadu,Annarupadu,8,451,445,0,896,115,ST (M/W)
858,Bhadradri,Wyra,Julurupadu,Bethalapadu,10,1164,1176,0,2340,115,ST (W)
859,Bhadradri,Wyra,Julurupadu,Bojya Thanda,8,378,382,0,760,115,ST (W)
860,Bhadradri,Wyra,Julurupadu,Chintala Thanda,4,103,116,0,219,115,ST (W)
861,Bhadradri,Wyra,Julurupadu,Gandhinagar,8,241,268,0,509,115,ST (M/W)
862,Bhadradri,Wyra,Julurupadu,Gundepudi,10,708,735,0,1443,115,ST (W)
863,Bhadradri,Wyra,Julurupadu,Gundlarevu,10,471,463,0,934,115,ST (M/W)
864,Bhadradri,Wyra,Julurupadu,Guravagu Thanda,6,195,196,0,391,115,ST (W)
865,Bhadradri,Wyra,Julurupadu,Julurupadu,10,1169,1276,0,2445,115,ST (W)
866,Bhadradri,Wyra,Julurupadu,Kakarla,10,1164,1192,1,2357,115,ST (W)
867,Bhadradri,Wyra,Julurupadu,Karivarigudem,8,536,577,0,1113,115,ST (W)
868,Bhadradri,Wyra,Julurupadu,Kommugudem,8,665,700,0,1365,115,ST (W)
869,Bhadradri,Wyra,Julurupadu,Kothuru,8,441,452,0,893,115,ST (M/W)
870,Bhadradri,Wyra,Julurupadu,Machinenipeta,8,445,463,0,908,115,ST (M/W)
871,Bhadradri,Wyra,Julurupadu,Machinenipeta Thanda,10,705,715,0,1420,115,ST (M/W)
872,Bhadradri,Wyra,Julurupadu,Nallabandabodu,4,70,74,0,144,115,ST (W)
873,Bhadradri,Wyra,Julurupadu,Padamata Narsapuram,10,980,1070,0,2050,115,ST (W)
874,Bhadradri,Wyra,Julurupadu,Papakollu,12,1537,1488,0,3025,115,ST (M/W)
875,Bhadradri,Wyra,Julurupadu,Sai Ram Thanda,6,152,196,0,348,115,ST (W)
876,Bhadradri,Wyra,Julurupadu,Sambunigudem,6,154,168,0,322,115,ST (W)
877,Bhadradri,Wyra,Julurupadu,Suraram,8,477,486,0,963,115,ST (M/W)
878,Bhadradri,Wyra,Julurupadu,Vengannapalem,10,848,968,0,1816,115,ST (M/W)
879,Bhadradri,Wyra,Julurupadu,Vinobha Nagar,8,358,398,0,756,115,ST (M/W)
880,Bhadradri,Yellandu,Tekulapalle,9thmile Thanda,10,787,848,0,1635,111,ST (W)
881,Bhadradri,Yellandu,Tekulapalle,Barlagudem,8,305,295,0,600,111,ST (W)
882,Bhadradri,Yellandu,Tekulapalle,Bethampudi,10,1012,1027,0,2039,111,ST (W)
883,Bhadradri,Yellandu,Tekulapalle,Billudu Thanda,8,525,474,0,999,111,ST (W)
884,Bhadradri,Yellandu,Tekulapalle,Bodduthanda,10,830,765,0,1595,111,ST (M/W)
885,Bhadradri,Yellandu,Tekulapalle,Bodu,10,603,676,0,1279,111,ST (W)
886,Bhadradri,Yellandu,Tekulapalle,Chandruthanda,8,404,437,0,841,111,ST (W)
887,Bhadradri,Yellandu,Tekulapalle,Chintal Lanka,8,310,335,0,645,111,ST (W)
888,Bhadradri,Yellandu,Tekulapalle,Chinthonichelka,8,389,428,0,817,111,ST (W)
889,Bhadradri,Yellandu,Tekulapalle,Chukkalabodu,8,284,272,0,556,111,ST (M/W)
890,Bhadradri,Yellandu,Tekulapalle,Dasu Thanda,10,999,1031,0,2030,111,ST (M/W)
891,Bhadradri,Yellandu,Tekulapalle,Gangaram,8,728,760,0,1488,111,ST (W)
892,Bhadradri,Yellandu,Tekulapalle,Gollapalli,8,561,611,0,1172,111,ST (W)
893,Bhadradri,Yellandu,Tekulapalle,Golya Thanda,8,573,601,0,1174,111,ST (M/W)
894,Bhadradri,Yellandu,Tekulapalle,Kistaram,8,505,532,0,1037,111,ST (M/W)
895,Bhadradri,Yellandu,Tekulapalle,Koppurai,10,762,808,0,1570,111,ST (M/W)
896,Bhadradri,Yellandu,Tekulapalle,Kothathanda (G),8,548,498,0,1046,111,ST (M/W)
897,Bhadradri,Yellandu,Tekulapalle,Kothathanda (P),8,623,639,0,1262,111,ST (W)
898,Bhadradri,Yellandu,Tekulapalle,Koyagudem,12,1379,1424,0,2803,111,ST (M/W)
899,Bhadradri,Yellandu,Tekulapalle,Kuntalla,8,293,305,0,598,111,ST (M/W)
900,Bhadradri,Yellandu,Tekulapalle,Lachagudem,8,358,419,0,777,111,ST (M/W)
901,Bhadradri,Yellandu,Tekulapalle,Madras Thanda,8,522,523,0,1045,111,ST (W)
902,Bhadradri,Yellandu,Tekulapalle,Mellamadugu,8,174,183,0,357,111,ST (W)
903,Bhadradri,Yellandu,Tekulapalle,Mokkampadu,8,263,276,0,539,111,ST (M/W)
904,Bhadradri,Yellandu,Tekulapalle,Mutyalampadu X Road,8,528,626,0,1154,111,ST (W)
905,Bhadradri,Yellandu,Tekulapalle,Petramchelka,8,365,363,0,728,111,ST (W)
906,Bhadradri,Yellandu,Tekulapalle,Pregallapadu,10,718,756,0,1474,111,ST (M/W)
907,Bhadradri,Yellandu,Tekulapalle,Ramchandrunipeta,8,701,713,0,1414,111,ST (W)
908,Bhadradri,Yellandu,Tekulapalle,Rampuram,8,551,557,0,1108,111,ST (M/W)
909,Bhadradri,Yellandu,Tekulapalle,Rollapadu,8,315,330,0,645,111,ST (W)
910,Bhadradri,Yellandu,Tekulapalle,Shambunigudem,8,393,453,0,846,111,ST (M/W)
911,Bhadradri,Yellandu,Tekulapalle,Sulanagar,10,766,777,0,1543,111,ST (M/W)
912,Bhadradri,Yellandu,Tekulapalle,Tekulapalli,10,1078,1075,0,2153,111,ST (M/W)
913,Bhadradri,Yellandu,Tekulapalle,Thadikalapudi,10,723,728,0,1451,111,ST (M/W)
914,Bhadradri,Yellandu,Tekulapalle,Thavurya Thanda,8,481,522,0,1003,111,ST (W)
915,Bhadradri,Yellandu,Tekulapalle,Yerraigudem,8,321,324,0,645,111,ST (M/W)
916,Bhadradri,Yellandu,Yellandu,Balajinagar,12,1374,1592,0,2966,111,ST (M/W)
917,Bhadradri,Yellandu,Yellandu,Boithanda,8,516,509,0,1025,111,ST (W)
918,Bhadradri,Yellandu,Yellandu,Bojjaigudem,12,1338,1502,0,2840,111,ST (W)
919,Bhadradri,Yellandu,Yellandu,Challasamudram,10,777,837,0,1614,111,ST (M/W)
920,Bhadradri,Yellandu,Yellandu,Csp Basthi,8,558,588,0,1146,111,ST (W)
921,Bhadradri,Yellandu,Yellandu,Dhaniyalapadu,8,379,388,0,767,111,ST (W)
922,Bhadradri,Yellandu,Yellandu,Indiranagar,10,1156,1219,0,2375,111,ST (W)
923,Bhadradri,Yellandu,Yellandu,Komararam,10,740,808,0,1548,111,ST (M/W)
924,Bhadradri,Yellandu,Yellandu,Kommugudem,10,701,797,0,1498,111,ST (W)
925,Bhadradri,Yellandu,Yellandu,Lachagudem,8,663,649,0,1312,111,ST (M/W)
926,Bhadradri,Yellandu,Yellandu,Mamidigudem,8,663,723,0,1386,111,ST (M/W)
927,Bhadradri,Yellandu,Yellandu,Mamidigundala,8,576,599,0,1175,111,ST (W)
928,Bhadradri,Yellandu,Yellandu,Manikyaram,10,1028,1093,0,2121,111,ST (W)
929,Bhadradri,Yellandu,Yellandu,Marrigudem,10,757,759,0,1516,111,ST (M/W)
930,Bhadradri,Yellandu,Yellandu,Masivagu,8,500,475,0,975,111,ST (W)
931,Bhadradri,Yellandu,Yellandu,Mittapally,8,366,387,0,753,111,ST (M/W)
932,Bhadradri,Yellandu,Yellandu,Mondithogu,10,504,520,0,1024,111,ST (W)
933,Bhadradri,Yellandu,Yellandu,Mutharapukatta,8,416,436,0,852,111,ST (W)
934,Bhadradri,Yellandu,Yellandu,Pocharamthanda,8,533,488,0,1021,111,ST (W)
935,Bhadradri,Yellandu,Yellandu,Polaram,10,1213,1216,0,2429,111,ST (W)
936,Bhadradri,Yellandu,Yellandu,Pubelly,8,312,331,0,643,111,ST (W)
937,Bhadradri,Yellandu,Yellandu,Raghaboinagudem,10,1058,1129,0,2187,111,ST (M/W)
938,Bhadradri,Yellandu,Yellandu,Repallewada,10,885,951,0,1836,111,ST (M/W)
939,Bhadradri,Yellandu,Yellandu,Rompaid,10,458,501,0,959,111,ST (W)
940,Bhadradri,Yellandu,Yellandu,Subashnagar,12,1740,1956,0,3696,111,ST (M/W)
941,Bhadradri,Yellandu,Yellandu,Sudimalla,10,1061,1171,0,2232,111,ST (M/W)
942,Bhadradri,Yellandu,Yellandu,Thilak Nagar,10,964,1040,0,2004,111,ST (M/W)
943,Bhadradri,Yellandu,Yellandu,Vijaylaxmi Nagar,10,715,785,0,1500,111,ST (W)
944,Bhadradri,Yellandu,Yellandu,Voddugudem,10,723,771,0,1494,111,ST (M/W)
945,Hanumakonda,Bhupalpalle,Shayampet,Appaiahpally,8,111,114,0,225,108,UR (W)
946,Hanumakonda,Bhupalpalle,Shayampet,Arepally,6,149,184,0,333,108,UR (W)
947,Hanumakonda,Bhupalpalle,Shayampet,Gangirenigudem,8,346,350,0,696,108,BC (M/W)
948,Hanumakonda,Bhupalpalle,Shayampet,Gatlakaniparthy,10,1006,1028,0,2034,108,UR (W)
949,Hanumakonda,Bhupalpalle,Shayampet,Govindapoor,8,441,448,0,889,108,UR (W)
950,Hanumakonda,Bhupalpalle,Shayampet,Hussainpalle,6,166,181,0,347,108,UR (W)
951,Hanumakonda,Bhupalpalle,Shayampet,Jogampalli,8,396,393,0,789,108,UR (M/W)
952,Hanumakonda,Bhupalpalle,Shayampet,Katrapalle,8,587,597,0,1184,108,ST (M/W)
953,Hanumakonda,Bhupalpalle,Shayampet,Koppula,12,1740,1859,0,3599,108,SC (M/W)
954,Hanumakonda,Bhupalpalle,Shayampet,Kothagattu Singaram,8,562,552,0,1114,108,BC (M/W)
955,Hanumakonda,Bhupalpalle,Shayampet,Mylaram,10,938,983,0,1921,108,UR (W)
956,Hanumakonda,Bhupalpalle,Shayampet,Narsimhulapally,8,172,174,0,346,108,UR (M/W)
957,Hanumakonda,Bhupalpalle,Shayampet,Neredpalle,8,644,702,0,1346,108,SC (W)
958,Hanumakonda,Bhupalpalle,Shayampet,Nurjahanpally,6,186,173,0,359,108,BC (M/W)
959,Hanumakonda,Bhupalpalle,Shayampet,Pathipaka,12,1711,1816,0,3527,108,SC (M/W)
960,Hanumakonda,Bhupalpalle,Shayampet,Peddakodepakaa,12,1524,1578,0,3102,108,SC (W)
961,Hanumakonda,Bhupalpalle,Shayampet,Pragathi Singaram,10,757,788,0,1545,108,SC (M/W)
962,Hanumakonda,Bhupalpalle,Shayampet,Rajupalle,8,270,279,0,549,108,UR (M/W)
963,Hanumakonda,Bhupalpalle,Shayampet,Sadanpally,8,299,302,0,601,108,UR (M/W)
964,Hanumakonda,Bhupalpalle,Shayampet,Shayampet,14,2671,2829,1,5501,108,BC (W)
965,Hanumakonda,Bhupalpalle,Shayampet,Soorampet,8,243,238,0,481,108,UR (M/W)
966,Hanumakonda,Bhupalpalle,Shayampet,Suryanayak Thanda,8,260,271,0,531,108,ST (W)
967,Hanumakonda,Bhupalpalle,Shayampet,Taharapur,10,990,1080,0,2070,108,BC (W)
968,Hanumakonda,Bhupalpalle,Shayampet,Vasanthapur,8,473,476,0,949,108,UR (M/W)
969,Hanumakonda,Ghanpur (Station),Dharmasagar,Devunoor,10,1041,1092,0,2133,99,UR (M/W)
970,Hanumakonda,Ghanpur (Station),Dharmasagar,Dharmapuram,10,963,1010,0,1973,99,UR (W)
971,Hanumakonda,Ghanpur (Station),Dharmasagar,Dharmasagar,14,3564,3752,0,7316,99,SC (W)
972,Hanumakonda,Ghanpur (Station),Dharmasagar,Elukurthy(P.D),10,747,805,0,1552,99,UR (M/W)
973,Hanumakonda,Ghanpur (Station),Dharmasagar,Janakipur,8,529,522,0,1051,99,UR (M/W)
974,Hanumakonda,Ghanpur (Station),Dharmasagar,Karunapuram,8,526,632,0,1158,99,UR (W)
975,Hanumakonda,Ghanpur (Station),Dharmasagar,Kashagudem,8,192,179,0,371,99,BC (M/W)
976,Hanumakonda,Ghanpur (Station),Dharmasagar,Keshava Nagar,8,251,248,0,499,99,UR (W)
977,Hanumakonda,Ghanpur (Station),Dharmasagar,Kyathampally,10,584,652,0,1236,99,SC (M/W)
978,Hanumakonda,Ghanpur (Station),Dharmasagar,Mallakpalle,12,1407,1490,0,2897,99,SC (M/W)
979,Hanumakonda,Ghanpur (Station),Dharmasagar,Mupparam,12,1402,1435,0,2837,99,BC (W)
980,Hanumakonda,Ghanpur (Station),Dharmasagar,Narayanagiri,12,1800,1899,0,3699,99,BC (W)
981,Hanumakonda,Ghanpur (Station),Dharmasagar,Narsingaraopalle,8,280,288,0,568,99,BC (W)
982,Hanumakonda,Ghanpur (Station),Dharmasagar,Peddapendiyal,14,2334,2522,0,4856,99,UR (M/W)
983,Hanumakonda,Ghanpur (Station),Dharmasagar,Raigudem,6,285,314,0,599,99,SC (M/W)
984,Hanumakonda,Ghanpur (Station),Dharmasagar,Rapakapalle,8,423,466,0,889,99,UR (M/W)
985,Hanumakonda,Ghanpur (Station),Dharmasagar,Saipeta,10,735,739,0,1474,99,SC (W)
986,Hanumakonda,Ghanpur (Station),Dharmasagar,Somadevarapalle,8,628,625,0,1253,99,BC (M/W)
987,Hanumakonda,Ghanpur (Station),Dharmasagar,Thatikayala,10,1014,1038,0,2052,99,UR (W)
988,Hanumakonda,Ghanpur (Station),Velair,Banda Thanda,6,151,146,0,297,99,ST (W)
989,Hanumakonda,Ghanpur (Station),Velair,Chinthal Thanda,8,278,257,0,535,99,ST (M/W)
990,Hanumakonda,Ghanpur (Station),Velair,Gollakistam Palle,8,260,257,0,517,99,BC (M/W)
991,Hanumakonda,Ghanpur (Station),Velair,Gundlasagar,8,429,453,0,882,99,SC (W)
992,Hanumakonda,Ghanpur (Station),Velair,Kammaripet,8,513,562,0,1075,99,UR (M/W)
993,Hanumakonda,Ghanpur (Station),Velair,Lokya Thanda,8,267,265,0,532,99,ST (M/W)
994,Hanumakonda,Ghanpur (Station),Velair,Maddelagudem,8,293,312,0,605,99,SC (M/W)
995,Hanumakonda,Ghanpur (Station),Velair,Mallikudurla,10,974,986,0,1960,99,BC (W)
996,Hanumakonda,Ghanpur (Station),Velair,Peechara,12,1850,1859,0,3709,99,UR (W)
997,Hanumakonda,Ghanpur (Station),Velair,Shalapalle,8,299,294,0,593,99,UR (M/W)
998,Hanumakonda,Ghanpur (Station),Velair,Shodashapalle,8,570,622,0,1192,99,UR (W)
999,Hanumakonda,Ghanpur (Station),Velair,Velair,14,2315,2369,0,4684,99,UR (M/W)
1000,Hanumakonda,Husnabad,Bheemadevarapalle,Bheemdeverapalli,10,984,1037,0,2021,32,UR (M/W)
1001,Hanumakonda,Husnabad,Bheemadevarapalle,Bollonipalli,8,213,223,0,436,32,BC (W)
1002,Hanumakonda,Husnabad,Bheemadevarapalle,Chantaiahpalli,8,272,270,0,542,32,ST (W)
1003,Hanumakonda,Husnabad,Bheemadevarapalle,Dharmaram,8,478,510,0,988,32,UR (M/W)
1004,Hanumakonda,Husnabad,Bheemadevarapalle,Errabelli,10,1205,1301,0,2506,32,UR (M/W)
