S.No	RIO	State	District	Assembly Constituency	Mandal	Gram Panchayat
6900	Nalgonda	Telangana	Nalgonda	Munugode	Munugode	Munugode	508244
6901	Nalgonda	Telangana	Nalgonda	Munugode	Munugode	Palivela
6902	Nizamabad	Telangana	Nizamabad	Armoor	Armur	Khanapur
6903	Nalgonda	Telangana	Nalgonda	Munugode	Munugode	Rathipally
6904	Nalgonda	Telangana	Nalgonda	Munugode	Munugode	Ravigudem
6905	Nalgonda	Telangana	Nalgonda	Munugode	Munugode	Singaram
6906	Nalgonda	Telangana	Nalgonda	Munugode	Munugode	Solipur
6907	Nalgonda	Telangana	Nalgonda	Munugode	Munugode	Vookondi
6908	Nalgonda	Telangana	Nalgonda	Munugode	Munugode	Yelagalagudem
6909	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Nakrekal	Chandampally	508211
6910	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Nakrekal	Chandupatla	508211
6911	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Nakrekal	Gollagudem
6912	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Nakrekal	Gorenkalapally
6913	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Nakrekal	Kadaparthy
6914	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Nakrekal	Mandalapuram
6915	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Nakrekal	Mangalpally
6916	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Nakrekal	Marrur	508211
6917	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Nakrekal	Modinigudem
6918	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Nakrekal	Nadigudem
6919	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Nakrekal	Narsimhapuram
6920	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Nakrekal	Nellibanda
6921	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Nakrekal	Nomula	508211
6922	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Nakrekal	Ogode
6923	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Nakrekal	Pa.Lem
6924	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Nakrekal	Thatikal
6925	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Nakrekal	Vallbhapuram
6926	Nalgonda	Telangana	Nalgonda	Nalgonda	Nalgonda	Anantharam	508101
6927	Nalgonda	Telangana	Nalgonda	Nalgonda	Nalgonda	Annareddy Gudem
6928	Nalgonda	Telangana	Nalgonda	Nalgonda	Nalgonda	Anneparthy
6929	Nalgonda	Telangana	Nalgonda	Nalgonda	Nalgonda	Appajipeta
6930	Nalgonda	Telangana	Nalgonda	Nalgonda	Nalgonda	Buddaram
6931	Nalgonda	Telangana	Nalgonda	Nalgonda	Nalgonda	Chandanapally	508205
6932	Nalgonda	Telangana	Nalgonda	Nalgonda	Nalgonda	Chennugudem
6933	Nalgonda	Telangana	Nalgonda	Nalgonda	Nalgonda	Chinna Suraram
6934	Nalgonda	Telangana	Nalgonda	Nalgonda	Nalgonda	Dandampally
6935	Nalgonda	Telangana	Nalgonda	Nalgonda	Nalgonda	Deepakunta
6936	Nalgonda	Telangana	Nalgonda	Nalgonda	Nalgonda	Donakal
6937	Nalgonda	Telangana	Nalgonda	Nalgonda	Nalgonda	G.Chennaram
6938	Nalgonda	Telangana	Nalgonda	Nalgonda	Nalgonda	G.K. Annaram
6939	Nalgonda	Telangana	Nalgonda	Nalgonda	Nalgonda	Gundlapally
6940	Nalgonda	Telangana	Nalgonda	Nalgonda	Nalgonda	K. Kondaram
6941	Nalgonda	Telangana	Nalgonda	Nalgonda	Nalgonda	Kanchanapally
6942	Nalgonda	Telangana	Nalgonda	Nalgonda	Nalgonda	Khajiramaram
6943	Nalgonda	Telangana	Nalgonda	Nalgonda	Nalgonda	Khudavanpur
6944	Nalgonda	Telangana	Nalgonda	Nalgonda	Nalgonda	Kothapally	508248
6945	Nalgonda	Telangana	Nalgonda	Nalgonda	Nalgonda	M. Duppala Pally
6946	Nalgonda	Telangana	Nalgonda	Nalgonda	Nalgonda	M.Domalapally
6947	Nalgonda	Telangana	Nalgonda	Nalgonda	Nalgonda	Mushampally	508247
6948	Nalgonda	Telangana	Nalgonda	Nalgonda	Nalgonda	Narsingbatla
6949	Nalgonda	Telangana	Nalgonda	Nalgonda	Nalgonda	Paturu
6950	Nalgonda	Telangana	Nalgonda	Nalgonda	Nalgonda	Pedda Suraram
6951	Nalgonda	Telangana	Nalgonda	Nalgonda	Nalgonda	Ramulabanda
6952	Nalgonda	Telangana	Nalgonda	Nalgonda	Nalgonda	Rangareddynagar
6953	Nalgonda	Telangana	Nalgonda	Nalgonda	Nalgonda	Rasoolpur
6954	Nalgonda	Telangana	Nalgonda	Nalgonda	Nalgonda	Reddy Colony
6955	Nalgonda	Telangana	Nalgonda	Nalgonda	Nalgonda	Thoragal
6956	Nalgonda	Telangana	Nalgonda	Nalgonda	Nalgonda	Velugupally
6957	Nalgonda	Telangana	Nalgonda	Munugode	Nampalle	Bandathimmapuram
6958	Nalgonda	Telangana	Nalgonda	Munugode	Nampalle	Challavanikunta
6959	Nalgonda	Telangana	Nalgonda	Munugode	Nampalle	Chittemphad
6960	Nalgonda	Telangana	Nalgonda	Munugode	Nampalle	Damera
6961	Nalgonda	Telangana	Nalgonda	Munugode	Nampalle	Devathpally
6962	Nalgonda	Telangana	Nalgonda	Munugode	Nampalle	Ganugupally
6963	Nalgonda	Telangana	Nalgonda	Munugode	Nampalle	Gatlamallepally
6964	Nalgonda	Telangana	Nalgonda	Munugode	Nampalle	Jonthanda
6965	Nalgonda	Telangana	Nalgonda	Munugode	Nampalle	Kethepally
6966	Nalgonda	Telangana	Nalgonda	Munugode	Nampalle	Mallapurajupally
6967	Nalgonda	Telangana	Nalgonda	Munugode	Nampalle	Mellavai
6968	Nalgonda	Telangana	Nalgonda	Munugode	Nampalle	Mohmadapuram
6969	Nalgonda	Telangana	Nalgonda	Munugode	Nampalle	Mustipally
6970	Nalgonda	Telangana	Nalgonda	Munugode	Nampalle	Namanaik Thanda
6971	Nalgonda	Telangana	Nalgonda	Munugode	Nampalle	Nampally
6972	Nalgonda	Telangana	Nalgonda	Munugode	Nampalle	Narsimhulagudem
6973	Nalgonda	Telangana	Nalgonda	Munugode	Nampalle	Nerallapally
6974	Nalgonda	Telangana	Nalgonda	Munugode	Nampalle	Nevillagudem
6975	Nalgonda	Telangana	Nalgonda	Munugode	Nampalle	Pakkirpuram
6976	Nalgonda	Telangana	Nalgonda	Munugode	Nampalle	Pasnoor
6977	Nalgonda	Telangana	Nalgonda	Munugode	Nampalle	Peddapuram
6978	Nalgonda	Telangana	Nalgonda	Munugode	Nampalle	Rajyanaikthanda
6979	Nalgonda	Telangana	Nalgonda	Munugode	Nampalle	Ramdasthanda
6980	Nalgonda	Telangana	Nalgonda	Munugode	Nampalle	Rekya Thanda
6981	Nalgonda	Telangana	Nalgonda	Munugode	Nampalle	Revalli
6982	Nalgonda	Telangana	Nalgonda	Munugode	Nampalle	S.W Lingotam
6983	Nalgonda	Telangana	Nalgonda	Munugode	Nampalle	Sunkishala
6984	Nalgonda	Telangana	Nalgonda	Munugode	Nampalle	T.P Gowraram
6985	Nalgonda	Telangana	Nalgonda	Munugode	Nampalle	Thummalapally
6986	Nalgonda	Telangana	Nalgonda	Munugode	Nampalle	Thungaphad
6987	Nalgonda	Telangana	Nalgonda	Munugode	Nampalle	Tirumalagiri
6988	Nalgonda	Telangana	Nalgonda	Munugode	Nampalle	Vaddepally
6989	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Narketpalle	A.P. Lingotam
6990	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Narketpalle	Akkenapally
6991	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Narketpalle	Ammanbole
6992	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Narketpalle	Avuravani
6993	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Narketpalle	B. Vellemla
6994	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Narketpalle	Bajakunta
6995	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Narketpalle	Bendalpahad
6996	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Narketpalle	Chervugattu
6997	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Narketpalle	Chinnanarayanapuram
6998	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Narketpalle	Chinnathummalagudem
6999	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Narketpalle	Chippalapally
7000	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Narketpalle	Choudampally
7001	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Narketpalle	Dasarigudem
7002	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Narketpalle	Goplaipally
7003	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Narketpalle	Juvigudem
7004	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Narketpalle	Kondapakagudem
7005	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Narketpalle	Madha Yedavally
7006	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Narketpalle	Mandra
7007	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Narketpalle	Nakkalapally
7008	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Narketpalle	Narketpally
7009	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Narketpalle	Nemmani
7010	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Narketpalle	Pallepahad
7011	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Narketpalle	Pothinenipally
7012	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Narketpalle	Shapally
7013	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Narketpalle	Sheribavigudem
7014	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Narketpalle	Thirmalagiri
7015	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Narketpalle	Thondalvai
7016	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Narketpalle	Yellareddygudem
7017	Nalgonda	Telangana	Nalgonda	Nakrekal (SC)	Narketpalle	Yenuguladori
7018	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Neredugommu	Bachapur
7019	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Neredugommu	Bugga Thanda
7020	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Neredugommu	Charla Thanda
7021	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Neredugommu	Chinamunigal
7022	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Neredugommu	Dasarlapally
7023	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Neredugommu	Dharmarekmya Thanda
7024	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Neredugommu	Gurrapu Thanda
7025	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Neredugommu	Jodubavithanda
7026	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Neredugommu	Kacharajupalli
7027	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Neredugommu	Kethepally
7028	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Neredugommu	Kothapalli
7029	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Neredugommu	Mosamgadda Thanda
7030	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Neredugommu	Neredugommu
7031	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Neredugommu	Padamati Thanda
7032	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Neredugommu	Palugu Thanda
7033	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Neredugommu	Pandiri Gundu Thanda
7034	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Neredugommu	Peddamunigal
7035	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Neredugommu	Pervala
7036	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Neredugommu	Suddabavithanda
7037	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Neredugommu	Thimapuram
7038	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Neredugommu	Vizag Colony
7039	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Nidamanur	Bantuvarigudem
7040	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Nidamanur	Bhankapuram
7041	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Nidamanur	Bokkamunthalapahad
7042	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Nidamanur	Guntipally
7043	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Nidamanur	Guntuka Gudem
7044	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Nidamanur	Indlakotayagudem
7045	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Nidamanur	Marlagadda Camp
7046	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Nidamanur	Marpaka
7047	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Nidamanur	Mukundapoor
7048	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Nidamanur	Mupparam
7049	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Nidamanur	Nandikondavarigudem
7050	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Nidamanur	Narammagudem
7051	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Nidamanur	Nidamanoor
7052	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Nidamanur	Parvathipuram
7053	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Nidamanur	Rajanna Gudem
7054	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Nidamanur	Regulagadda
7055	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Nidamanur	Shakapuram
7056	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Nidamanur	Somorigudem
7057	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Nidamanur	Surepally
7058	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Nidamanur	Thummadam
7059	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Nidamanur	Vadderigudem
7060	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Nidamanur	Vallabhavapuram
7061	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Nidamanur	Vempahad
7062	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Nidamanur	Vengannagudem
7063	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Nidamanur	Venigandla
7064	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Nidamanur	Venkatapoor
7065	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Nidamanur	Vootukur
7066	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Nidamanur	Yerrabelli
7067	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Nidamanur	Yerragudem
7068	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Pedda_Adiserlapalle	Akkampally
7069	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Pedda_Adiserlapalle	Angadipet X Road
7070	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Pedda_Adiserlapalle	Azmapuram
7071	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Pedda_Adiserlapalle	Balaji Nagar
7072	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Pedda_Adiserlapalle	Chinthala Thanda
7073	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Pedda_Adiserlapalle	Dugyala
7074	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Pedda_Adiserlapalle	Gaddameedi Thanda
7075	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Pedda_Adiserlapalle	Madharigudan
7076	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Pedda_Adiserlapalle	Mallapuram
7077	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Pedda_Adiserlapalle	Medaram
7078	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Pedda_Adiserlapalle	Munavath Thanda
7079	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Pedda_Adiserlapalle	Nakkalapenta Thand
7080	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Pedda_Adiserlapalle	Nambapuram
7081	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Pedda_Adiserlapalle	P.A.Pally
7082	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Pedda_Adiserlapalle	Padamati Thanda
7083	Nizamabad	Telangana	Nizamabad	Armoor	Armur	Komanpally
7084	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Pedda_Adiserlapalle	Pedda Gummadam
7085	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Pedda_Adiserlapalle	Pilligundla Thanda
7086	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Pedda_Adiserlapalle	Pothireddy Pally
7087	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Pedda_Adiserlapalle	Puttamgandi
7088	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Pedda_Adiserlapalle	Rampuram
7089	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Pedda_Adiserlapalle	Rangareddygudem
7090	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Pedda_Adiserlapalle	Thirumalagiri
7091	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Pedda_Adiserlapalle	Vaddipatla
7092	Nalgonda	Telangana	Nalgonda	Devarakonda (ST)	Pedda_Adiserlapalle	Yarragunta Thanda
7093	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Peddavura	Basirddypally
7094	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Peddavura	Battugudem
7095	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Peddavura	Chalakurthy
7096	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Peddavura	Chintapally
7097	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Peddavura	Garnekunta
7098	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Peddavura	Gemyanayak Thanda
7099	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Peddavura	Jayaram Thanda
7100	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Peddavura	Komatikunta Thanda
7101	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Peddavura	Kothaluru
7102	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Peddavura	Kunkuduchettu Thanda
7103	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Peddavura	Lingampally
7104	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Peddavura	Nayanavani Kunta Thanda
7105	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Peddavura	Neemanaik Thanda
7106	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Peddavura	Palthi Thanda
7107	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Peddavura	Parvedula
7108	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Peddavura	Peddagudem
7109	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Peddavura	Peddavoora
7110	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Peddavura	Pinnavoora
7111	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Peddavura	Pothunuru
7112	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Peddavura	Pottivani Thanda
7113	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Peddavura	Pulicharla
7114	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Peddavura	Pulya Thanda
7115	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Peddavura	Sangaram
7116	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Peddavura	Sirsanagandla
7117	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Peddavura	Theppalamadugu
7118	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Peddavura	Thungathurthy
7119	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Peddavura	Utlapally
7120	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Peddavura	Velmagudem
7121	Nalgonda	Telangana	Nalgonda	Thungathurthi (SC)	Saligouraram	Adlooru
7122	Nalgonda	Telangana	Nalgonda	Thungathurthi (SC)	Saligouraram	Akaram
7123	Nalgonda	Telangana	Nalgonda	Thungathurthi (SC)	Saligouraram	Ambaripeta
7124	Nalgonda	Telangana	Nalgonda	Thungathurthi (SC)	Saligouraram	Bandemeedagudem
7125	Nalgonda	Telangana	Nalgonda	Thungathurthi (SC)	Saligouraram	Bharavunibanda
7126	Nalgonda	Telangana	Nalgonda	Thungathurthi (SC)	Saligouraram	Chithalooru
7127	Nalgonda	Telangana	Nalgonda	Thungathurthi (SC)	Saligouraram	Gurajala
7128	Nalgonda	Telangana	Nalgonda	Thungathurthi (SC)	Saligouraram	Itukulapahad
7129	Nalgonda	Telangana	Nalgonda	Thungathurthi (SC)	Saligouraram	Jalonigudem
7130	Nalgonda	Telangana	Nalgonda	Thungathurthi (SC)	Saligouraram	Madharam Kalan
7131	Nalgonda	Telangana	Nalgonda	Thungathurthi (SC)	Saligouraram	Manimadde
7132	Nalgonda	Telangana	Nalgonda	Thungathurthi (SC)	Saligouraram	NG Kothapally
7133	Nalgonda	Telangana	Nalgonda	Thungathurthi (SC)	Saligouraram	Perkakondaram
7134	Nalgonda	Telangana	Nalgonda	Thungathurthi (SC)	Saligouraram	Ramagiri
7135	Nalgonda	Telangana	Nalgonda	Thungathurthi (SC)	Saligouraram	Ramanujapuram
7136	Nalgonda	Telangana	Nalgonda	Thungathurthi (SC)	Saligouraram	Shaligouraram
7137	Nalgonda	Telangana	Nalgonda	Thungathurthi (SC)	Saligouraram	Shalilingotam
7138	Nalgonda	Telangana	Nalgonda	Thungathurthi (SC)	Saligouraram	Takkellapahad
7139	Nalgonda	Telangana	Nalgonda	Thungathurthi (SC)	Saligouraram	Tirumalarayunigudem
7140	Nalgonda	Telangana	Nalgonda	Thungathurthi (SC)	Saligouraram	Tudimidi
7141	Nalgonda	Telangana	Nalgonda	Thungathurthi (SC)	Saligouraram	Uppalancha
7142	Nalgonda	Telangana	Nalgonda	Thungathurthi (SC)	Saligouraram	Utukooru
7143	Nalgonda	Telangana	Nalgonda	Thungathurthi (SC)	Saligouraram	Vallala
7144	Nalgonda	Telangana	Nalgonda	Thungathurthi (SC)	Saligouraram	Wangamarthy
7145	Nalgonda	Telangana	Nalgonda	Nalgonda	Thipparthi	A. Duppala Pally
7146	Nalgonda	Telangana	Nalgonda	Nalgonda	Thipparthi	Anthaiah Gudem
7147	Nalgonda	Telangana	Nalgonda	Nalgonda	Thipparthi	Aregudem
7148	Nalgonda	Telangana	Nalgonda	Nalgonda	Thipparthi	Gaddi Kondaram
7149	Nalgonda	Telangana	Nalgonda	Nalgonda	Thipparthi	Gangannapalem
7150	Nalgonda	Telangana	Nalgonda	Nalgonda	Thipparthi	Godori Gudem
7151	Nalgonda	Telangana	Nalgonda	Nalgonda	Thipparthi	Indloor
7152	Nalgonda	Telangana	Nalgonda	Nalgonda	Thipparthi	Jangareddy Gudem
7153	Nalgonda	Telangana	Nalgonda	Nalgonda	Thipparthi	Jonnagaddala Gudem
7154	Nalgonda	Telangana	Nalgonda	Nalgonda	Thipparthi	Kankanalapally
7155	Nalgonda	Telangana	Nalgonda	Nalgonda	Thipparthi	Kashivarigudem
7156	Nalgonda	Telangana	Nalgonda	Nalgonda	Thipparthi	Mamidala
7157	Nalgonda	Telangana	Nalgonda	Nalgonda	Thipparthi	Marrigudem (T)
7158	Nalgonda	Telangana	Nalgonda	Nalgonda	Thipparthi	Pajjur
7159	Nalgonda	Telangana	Nalgonda	Nalgonda	Thipparthi	Rainigudem
7160	Nalgonda	Telangana	Nalgonda	Nalgonda	Thipparthi	Rajpet
7161	Nalgonda	Telangana	Nalgonda	Nalgonda	Thipparthi	Ramalingala Gudem
7162	Nalgonda	Telangana	Nalgonda	Nalgonda	Thipparthi	Sarvaram
7163	Nalgonda	Telangana	Nalgonda	Nalgonda	Thipparthi	Silarimiyagudem
7164	Nalgonda	Telangana	Nalgonda	Nalgonda	Thipparthi	Somorigudem
7165	Nalgonda	Telangana	Nalgonda	Nalgonda	Thipparthi	Thanedar Pally
7166	Nalgonda	Telangana	Nalgonda	Nalgonda	Thipparthi	Thipparthy
7167	Nalgonda	Telangana	Nalgonda	Nalgonda	Thipparthi	Venkatadripalem
7168	Nalgonda	Telangana	Nalgonda	Nalgonda	Thipparthi	Yapalagudem
7169	Nalgonda	Telangana	Nalgonda	Nalgonda	Thipparthi	Yarragaddala Gudem
7170	Nalgonda	Telangana	Nalgonda	Nalgonda	Thipparthi	Yellammagudem
7171	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Tirumalagiri_Sagar	Alwala
7172	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Tirumalagiri_Sagar	Battuvenkanna Bavi Thanda
7173	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Tirumalagiri_Sagar	Boyagudem
7174	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Tirumalagiri_Sagar	chenchuvani Thanda
7175	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Tirumalagiri_Sagar	Chinthalapalem
7176	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Tirumalagiri_Sagar	Dhanusing Thanda
7177	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Tirumalagiri_Sagar	Garikanutthanda
7178	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Tirumalagiri_Sagar	Gattumeedi Thanda
7179	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Tirumalagiri_Sagar	Godumadaka
7180	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Tirumalagiri_Sagar	Jal Thanda
7181	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Tirumalagiri_Sagar	Juvvichettuthanda
7182	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Tirumalagiri_Sagar	Keechyathanda
7183	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Tirumalagiri_Sagar	Kompalli
7184	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Tirumalagiri_Sagar	Megyathanda
7185	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Tirumalagiri_Sagar	Nagarjunapeta
7186	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Tirumalagiri_Sagar	Nayakuni Thanda
7187	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Tirumalagiri_Sagar	Nellikal
7188	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Tirumalagiri_Sagar	Nethapuram
7189	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Tirumalagiri_Sagar	Peddabavithanda
7190	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Tirumalagiri_Sagar	Pilligundla Thanda
7191	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Tirumalagiri_Sagar	Rajavaram
7192	Nalgonda	Telangana	Nalgonda	Nagarjuna Sagar	Tirumalagiri_Sagar	Rangundla
