S.No	RIO	State	District	Assembly Constituency	Mandal	Gram Panchayat
107	Adilabad	Telangana	Adilabad	Boath (ST)	Bheempur	Indurpally
108	Adilabad	Telangana	Adilabad	Boath (ST)	Bheempur	Jalkori
109	Adilabad	Telangana	Adilabad	Boath (ST)	Bheempur	Kamatwada
110	Adilabad	Telangana	Adilabad	Boath (ST)	Bheempur	Karanji (T)
111	Adilabad	Telangana	Adilabad	Boath (ST)	Bheempur	Karanwadi
112	Adilabad	Telangana	Adilabad	Boath (ST)	Bheempur	Khairiguda
113	Adilabad	Telangana	Adilabad	Boath (ST)	Bheempur	Markaguda
114	Adilabad	Telangana	Adilabad	Boath (ST)	Bheempur	Nippani
115	Adilabad	Telangana	Adilabad	Boath (ST)	Bheempur	Pippalkoti
116	Adilabad	Telangana	Adilabad	Boath (ST)	Bheempur	Tamsi (K)
117	Adilabad	Telangana	Adilabad	Boath (ST)	Bheempur	Tekdirampur
118	Adilabad	Telangana	Adilabad	Boath (ST)	Bheempur	Wadgaon
119	Adilabad	Telangana	Adilabad	Boath (ST)	Bheempur	Wadoor
120	Adilabad	Telangana	Adilabad	Boath (ST)	Boath	Andooru
121	Adilabad	Telangana	Adilabad	Boath (ST)	Boath	Babera
122	Adilabad	Telangana	Adilabad	Boath (ST)	Boath	Beerlagondi
123	Adilabad	Telangana	Adilabad	Boath (ST)	Boath	Boath (B)
124	Adilabad	Telangana	Adilabad	Boath (ST)	Boath	Chinthaguda
125	Adilabad	Telangana	Adilabad	Boath (ST)	Boath	Dhannur (B)
126	Adilabad	Telangana	Adilabad	Boath (ST)	Boath	Kangutta
127	Adilabad	Telangana	Adilabad	Boath (ST)	Boath	Kantegoan
128	Adilabad	Telangana	Adilabad	Boath (ST)	Boath	Karathwada	504304
129	Adilabad	Telangana	Adilabad	Boath (ST)	Boath	Kowtha (B)
130	Adilabad	Telangana	Adilabad	Boath (ST)	Boath	Kuchalapur
131	Adilabad	Telangana	Adilabad	Boath (ST)	Boath	Babera Thanda
132	Adilabad	Telangana	Adilabad	Boath (ST)	Boath	Mandabogada
133	Adilabad	Telangana	Adilabad	Boath (ST)	Boath	Marlapelly
134	Adilabad	Telangana	Adilabad	Boath (ST)	Boath	Nagapur
